episode,pio_usd,joint_usd,spot_only_usd,fcas_only_usd
0,495.0806698889694,559.243,501.89392,49.155308
1,501.7236188801384,631.1307,616.6874,27.5659
2,416.0229154875612,345.9101,312.7649,33.442604
3,502.0694467561548,376.30594,305.24396,68.90956
4,611.5864436951641,498.57626,443.16556,68.67366
5,895.663915575744,275.19983,186.77992,87.965004
6,1036.8967579451319,583.0729,234.13881,365.6757
7,771.8626429051989,462.07993,277.09085,101.74604
8,797.0185612798539,510.6982,373.6272,198.97147
9,1502.3417913198325,973.6967,317.09625,612.9804
10,903.7872536100274,539.1708,474.41693,78.90523
11,490.7543170788245,347.19296,270.22614,80.386246
12,465.73631793903695,336.33392,278.50284,73.200165
13,734.9599048213527,353.30087,287.01462,87.56005
14,757.9673538032531,436.7934,354.0548,89.24763
15,1162.63478949692,949.438,763.66437,248.3571
16,667.1913538696735,577.48315,491.11005,144.86568
17,462.87455550453666,659.23126,604.9238,69.436905
18,927.4944399723148,940.8079,835.27423,118.04104
19,654.119105461459,591.7422,534.37225,79.77645
20,705.4952851005241,886.20886,773.7271,124.82718
21,728.6540941604222,1227.3394,1151.1448,89.57583
22,622.4860174680723,925.0281,855.1774,90.11163
23,617.749322358316,785.62384,754.6137,36.466892
24,773.324596104404,698.8203,654.0566,44.946617
25,997.119065829477,982.22906,919.3684,69.7477
26,647.6305926570927,783.1455,665.01843,140.25352
27,570.6899768822344,660.0044,576.0841,113.66097
28,741.5959096322608,1040.4324,977.88947,71.36848
29,536.2489648814684,779.1242,747.53064,35.732388
30,619.1525534520149,607.3383,585.5544,37.43687
31,488.2474093018805,776.42316,684.1919,96.63816
32,655.6749362247351,872.8374,832.635,41.106014
33,490.2534965608197,208.13905,199.08492,11.898693
34,18412.8523643407,13056.831,12083.386,1000.13477
35,34523.779526113045,29179.098,247.50812,28901.0
36,8968.089174785871,7803.519,273.96014,7494.0435
37,995.6068915295601,290.83258,141.12308,143.04735
38,780.3208189613441,557.8567,510.55743,62.633915
39,431.87590641771254,297.21738,282.49112,19.374615
40,483.2587363048175,390.76035,361.91086,23.65022
41,454.6683963039173,477.5292,449.56726,34.79745
42,451.6842538808537,216.33528,201.16075,12.4084425
